MSFT, SPY, XLK, CSCO AAPL INTC ORCL
EBIX, SPY, XLK, PANW PEGA SPDC BLKB
GAIN, SPY, XLF, MAIN GECC AINV AMG BK
CDOR, SPY, XLRE, CUZ ADC AKR ALX CGDI
BOTJ, SPY, XLF, ABCB AMNB AMRB AROW ASB
DRAD, SPY, XLV, BABY CNMD CUTR DYNT ESMC
SACH, SPY, XLRE, JLL TAYO LAND MMI
CELP, SPY, XLC, BHGE AE BAS BOOM BRN
ASFI, SPY, XLF, QMCI AMSA AAME AB ABCB
SNFCA, SPY, XLF, ATAZ OCSL ALLY NAVI PYPL
ABDC, SPY, XLF, RIOT FDS GS CMFN GLAE
CIZN, SPY. XLF, ABCB AMNB AMRB AROW ASB
FRD, SPY, XLB, AKS CMC NUE RS SCHN
WEBK, SPY, XLF, ABCB AMNB AMRB AROW ASB
OBCI, SPY, XLI, AETI AGCO AIMC AIR IPWR
ACU, SPY, XLP, BTTR LRN CHGG ADM
PBHC, SPY, XLF, BHLB BKJ AX BRKL BYFC
SFBC, SPY, XLF, BHLB BKJ AX BRKL BYFC
UG, SPY, XLP, ACU CAWW EL EPC IPAR
RFIL, SPY, XLK, MEI ADI AEIS AMAT AMD
CSPI, SPY, XLK, BVSN DOX GSB MDRX PRO
WSTG, SPY, XLK, PANW EBIX NSIT ATEN QUMU
